Species,Group no.,Species group,Percentage of group,FIA_SPCD
Larch (introduced),1,Miscellaneous softwood,6.02,6212
Norway spruce,1,Miscellaneous softwood,11.68,91
Jack pine,1,Miscellaneous softwood,5.66,105
Red pine,1,Miscellaneous softwood,66.24,125
Pitch pine,1,Miscellaneous softwood,9.67,126
Pond pine,1,Miscellaneous softwood,0.55,128
Scotch pine,1,Miscellaneous softwood,0.18,130
Tamarack (native),2,Tamarack (native),100.00,71
Eastern white pine,3,Eastern white pine,100.00,129
White spruce,4,White spruce,100.00,94
Black spruce,5,Black spruce,100.00,95
Red spruce,6,Red spruce,100.00,97
Balsam fir,7,Balsam fir,100.00,12
Eastern hemlock,8,Eastern hemlock,100.00,261
Northern white-cedar,9,Northern white-cedar,100.00,241
Sugar maple,10,Sugar maple,100.00,318
White ash,11,Ash,75.76,541
Black ash,11,Ash,21.01,543
Green ash,11,Ash,3.23,544
Balsam poplar,12,Poplars,8.43,741
Eastern cottonwood,12,Poplars,0.30,742
Bigtooth aspen,12,Poplars,29.34,743
Swamp cottonwood,12,Poplars,0.03,744
Quaking aspen,12,Poplars,61.90,746
Shagbark hickory,13,Miscellaneous hardwood,0.10,407
Black cherry,13,Miscellaneous hardwood,9.87,762
Scarlet oak,13,Miscellaneous hardwood,0.05,806
Northern red oak,13,Miscellaneous hardwood,82.11,833
Black oak,13,Miscellaneous hardwood,4.15,837
Basswood,13,Miscellaneous hardwood,0.15,951
American basswood,13,Miscellaneous hardwood,3.57,951
Yellow birch,14,Yellow birch,100.00,371
Paper birch,15,Paper birch,100.00,375
Maple,16,Other hardwood,0.06,310
Striped maple,16,Other hardwood,15.93,315
Silver maple,16,Other hardwood,0.96,317
Mountain maple,16,Other hardwood,0.19,319
Norway maple,16,Other hardwood,0.13,320
Ohio buckeye,16,Other hardwood,0.06,331
Serviceberry,16,Other hardwood,0.90,356
Sweet birch,16,Other hardwood,3.39,372
Gray birch,16,Other hardwood,24.70,379
American hornbeam,16,Other hardwood,0.19,391
Butternut,16,Other hardwood,0.26,601
Osage-orange,16,Other hardwood,0.06,641
Apple,16,Other hardwood,5.31,660
Eastern hophornbeam,16,Other hardwood,24.18,701
Pin cherry,16,Other hardwood,8.51,761
Chokecherry,16,Other hardwood,0.26,763
White oak,16,Other hardwood,5.37,802
Swamp white oak,16,Other hardwood,0.06,804
Willow,16,Other hardwood,0.58,920
Black willow,16,Other hardwood,0.06,922
White willow,16,Other hardwood,0.06,927
American mountain-ash,16,Other hardwood,2.69,935
Elm,16,Other hardwood,0.26,970
American elm,16,Other hardwood,5.82,972
Red maple,17,Red maple,100.00,316
American beech,18,American beech,100.00,531
